Date,Game ID,Elo,Outcome,Side,Country
,855,,Future Game,Future Game,
,856,,Future Game,Future Game,
,857,,Future Game,Future Game,
,858,,Future Game,Future Game,
,859,,Future Game,Future Game,
,860,,Future Game,Future Game,
,861,,Future Game,Future Game,
,862,,Future Game,Future Game,
,863,,Future Game,Future Game,
,864,,Future Game,Future Game,
,865,,Future Game,Future Game,
,866,,Future Game,Future Game,
,867,,Future Game,Future Game,
,868,,Future Game,Future Game,
,869,,Future Game,Future Game,
,870,,Future Game,Future Game,
,871,,Future Game,Future Game,
,872,,Future Game,Future Game,
,873,,Future Game,Future Game,
,874,,Future Game,Future Game,
,875,,Future Game,Future Game,
,876,,Future Game,Future Game,
,877,,Future Game,Future Game,
,878,,Future Game,Future Game,
,879,,Future Game,Future Game,
,880,,Future Game,Future Game,
,881,,Future Game,Future Game,
,882,,Future Game,Future Game,
,883,,Future Game,Future Game,
,884,,Future Game,Future Game,
,885,,Future Game,Future Game,
,886,,Future Game,Future Game,
,887,,Future Game,Future Game,
,888,,Future Game,Future Game,
,889,,Future Game,Future Game,
,890,,Future Game,Future Game,
,891,,Future Game,Future Game,
,892,,Future Game,Future Game,
,893,,Future Game,Future Game,
,894,,Future Game,Future Game,
,895,,Future Game,Future Game,
,896,,Future Game,Future Game,
,897,,Future Game,Future Game,
,898,,Future Game,Future Game,
,899,,Future Game,Future Game,
,900,,Future Game,Future Game,
,901,,Future Game,Future Game,
,902,,Future Game,Future Game,
,903,,Future Game,Future Game,
,904,,Future Game,Future Game,
,905,,Future Game,Future Game,
,906,,Future Game,Future Game,
,907,,Future Game,Future Game,
,908,,Future Game,Future Game,
,909,,Future Game,Future Game,
,910,,Future Game,Future Game,
,911,,Future Game,Future Game,
,912,,Future Game,Future Game,
,913,,Future Game,Future Game,
,914,,Future Game,Future Game,
,915,,Future Game,Future Game,
,916,,Future Game,Future Game,
,917,,Future Game,Future Game,
,918,,Future Game,Future Game,
,919,,Future Game,Future Game,
,920,,Future Game,Future Game,
,921,,Future Game,Future Game,
,922,,Future Game,Future Game,
,923,,Future Game,Future Game,
,924,,Future Game,Future Game,
,925,,Future Game,Future Game,
,926,,Future Game,Future Game,
,927,,Future Game,Future Game,
,928,,Future Game,Future Game,
,929,,Future Game,Future Game,
,930,,Future Game,Future Game,
,931,,Future Game,Future Game,
,932,,Future Game,Future Game,
,933,,Future Game,Future Game,
,934,,Future Game,Future Game,
,935,,Future Game,Future Game,
,936,,Future Game,Future Game,
,937,,Future Game,Future Game,
,938,,Future Game,Future Game,
,939,,Future Game,Future Game,
,940,,Future Game,Future Game,
,941,,Future Game,Future Game,
,942,,Future Game,Future Game,
,943,,Future Game,Future Game,
,944,,Future Game,Future Game,
,945,,Future Game,Future Game,
,946,,Future Game,Future Game,
,947,,Future Game,Future Game,
,948,,Future Game,Future Game,
,949,,Future Game,Future Game,
,950,,Future Game,Future Game,
,951,,Future Game,Future Game,
,952,,Future Game,Future Game,
,953,,Future Game,Future Game,
,954,,Future Game,Future Game,
,955,,Future Game,Future Game,
,956,,Future Game,Future Game,
,957,,Future Game,Future Game,
,958,,Future Game,Future Game,
,959,,Future Game,Future Game,
,960,,Future Game,Future Game,
,961,,Future Game,Future Game,
,962,,Future Game,Future Game,
,963,,Future Game,Future Game,
,964,,Future Game,Future Game,
,965,,Future Game,Future Game,
,966,,Future Game,Future Game,
,967,,Future Game,Future Game,
,968,,Future Game,Future Game,
,969,,Future Game,Future Game,
,970,,Future Game,Future Game,
,971,,Future Game,Future Game,
,972,,Future Game,Future Game,
,973,,Future Game,Future Game,
,974,,Future Game,Future Game,
,975,,Future Game,Future Game,
,976,,Future Game,Future Game,
,977,,Future Game,Future Game,
,978,,Future Game,Future Game,
,979,,Future Game,Future Game,
,980,,Future Game,Future Game,
,981,,Future Game,Future Game,
,982,,Future Game,Future Game,
,983,,Future Game,Future Game,
,984,,Future Game,Future Game,
,985,,Future Game,Future Game,
,986,,Future Game,Future Game,
,987,,Future Game,Future Game,
,988,,Future Game,Future Game,
,989,,Future Game,Future Game,
,990,,Future Game,Future Game,
,991,,Future Game,Future Game,
,992,,Future Game,Future Game,
,993,,Future Game,Future Game,
,994,,Future Game,Future Game,
,995,,Future Game,Future Game,
,996,,Future Game,Future Game,
,997,,Future Game,Future Game,
,998,,Future Game,Future Game,
,999,,Future Game,Future Game,
,1000,,Future Game,Future Game,
,1001,,Future Game,Future Game,
,1002,,Future Game,Future Game,
,1003,,Future Game,Future Game,
,1004,,Future Game,Future Game,
,1005,,Future Game,Future Game,
,1006,,Future Game,Future Game,
,1007,,Future Game,Future Game,
,1008,,Future Game,Future Game,
,1009,,Future Game,Future Game,
,1010,,Future Game,Future Game,
,1011,,Future Game,Future Game,
,1012,,Future Game,Future Game,
,1013,,Future Game,Future Game,
,1014,,Future Game,Future Game,
,1015,,Future Game,Future Game,
,1016,,Future Game,Future Game,
,1017,,Future Game,Future Game,
,1018,,Future Game,Future Game,
,1019,,Future Game,Future Game,
,1020,,Future Game,Future Game,
,1021,,Future Game,Future Game,
,1022,,Future Game,Future Game,
,1023,,Future Game,Future Game,
,1024,,Future Game,Future Game,
,1025,,Future Game,Future Game,
,1026,,Future Game,Future Game,
,1027,,Future Game,Future Game,
,1028,,Future Game,Future Game,
,1029,,Future Game,Future Game,
,1030,,Future Game,Future Game,
,1031,,Future Game,Future Game,
,1032,,Future Game,Future Game,
,1033,,Future Game,Future Game,
,1034,,Future Game,Future Game,
,1035,,Future Game,Future Game,
,1036,,Future Game,Future Game,
,1037,,Future Game,Future Game,
,1038,,Future Game,Future Game,
,1039,,Future Game,Future Game,
,1040,,Future Game,Future Game,
,1041,,Future Game,Future Game,
,1042,,Future Game,Future Game,
,1043,,Future Game,Future Game,
,1044,,Future Game,Future Game,
,1045,,Future Game,Future Game,
,1046,,Future Game,Future Game,
,1047,,Future Game,Future Game,
,1048,,Future Game,Future Game,
,1049,,Future Game,Future Game,
,1050,,Future Game,Future Game,
,1051,,Future Game,Future Game,
,1052,,Future Game,Future Game,
,1053,,Future Game,Future Game,
,1054,,Future Game,Future Game,
,1055,,Future Game,Future Game,
,1056,,Future Game,Future Game,
,1057,,Future Game,Future Game,
,1058,,Future Game,Future Game,
,1059,,Future Game,Future Game,
,1060,,Future Game,Future Game,
,1061,,Future Game,Future Game,
,1062,,Future Game,Future Game,
,1063,,Future Game,Future Game,
,1064,,Future Game,Future Game,
,1065,,Future Game,Future Game,
,1066,,Future Game,Future Game,
,1067,,Future Game,Future Game,
,1068,,Future Game,Future Game,
,1069,,Future Game,Future Game,
,1070,,Future Game,Future Game,
,1071,,Future Game,Future Game,
,1072,,Future Game,Future Game,
,1073,,Future Game,Future Game,
,1074,,Future Game,Future Game,
,1075,,Future Game,Future Game,
,1076,,Future Game,Future Game,
,1077,,Future Game,Future Game,
,1078,,Future Game,Future Game,
,1079,,Future Game,Future Game,
,1080,,Future Game,Future Game,
,1081,,Future Game,Future Game,
,1082,,Future Game,Future Game,
,1083,,Future Game,Future Game,
,1084,,Future Game,Future Game,
,1085,,Future Game,Future Game,
,1086,,Future Game,Future Game,
,1087,,Future Game,Future Game,
,1088,,Future Game,Future Game,
,1089,,Future Game,Future Game,
,1090,,Future Game,Future Game,
,1091,,Future Game,Future Game,
,1092,,Future Game,Future Game,
,1093,,Future Game,Future Game,
,1094,,Future Game,Future Game,
,1095,,Future Game,Future Game,
,1096,,Future Game,Future Game,
,1097,,Future Game,Future Game,
,1098,,Future Game,Future Game,
,1099,,Future Game,Future Game,
